cat,soc,job,elm,val,mhr,myr
Management,11-3051,Industrial Production Managers,Artistic,1.33,49.7,103380
Management,11-3051,Industrial Production Managers,Social,3.33,49.7,103380
Management,11-3051,Industrial Production Managers,Enterprising,7,49.7,103380
Management,11-3051,Industrial Production Managers,Conventional,6,49.7,103380
Management,11-3061,Purchasing Managers,Realistic,2.67,57.18,118940
Management,11-3061,Purchasing Managers,Investigative,2,57.18,118940
Management,11-3061,Purchasing Managers,Artistic,1.33,57.18,118940
Management,11-3061,Purchasing Managers,Social,2.67,57.18,118940
Management,11-3061,Purchasing Managers,Enterprising,7,57.18,118940
Management,11-3061,Purchasing Managers,Conventional,5.33,57.18,118940
Management,11-3111,Compensation and Benefits Managers,Realistic,1,58.18,121010
Management,11-3111,Compensation and Benefits Managers,Investigative,1.33,58.18,121010
Management,11-3111,Compensation and Benefits Managers,Artistic,1.67,58.18,121010
Management,11-3111,Compensation and Benefits Managers,Social,4.67,58.18,121010
Management,11-3111,Compensation and Benefits Managers,Enterprising,7,58.18,121010
Management,11-3111,Compensation and Benefits Managers,Conventional,5.33,58.18,121010
Management,11-3121,Human Resources Managers,Realistic,1.33,54.47,113300
Management,11-3121,Human Resources Managers,Investigative,2.33,54.47,113300
Management,11-3121,Human Resources Managers,Artistic,2.33,54.47,113300
Management,11-3121,Human Resources Managers,Social,5.67,54.47,113300
Management,11-3121,Human Resources Managers,Enterprising,7,54.47,113300
Management,11-3121,Human Resources Managers,Conventional,5,54.47,113300
Management,11-3131,Training and Development Managers,Realistic,1.33,53.53,111340
Management,11-3131,Training and Development Managers,Investigative,2,53.53,111340
Management,11-3131,Training and Development Managers,Artistic,3.67,53.53,111340
Management,11-3131,Training and Development Managers,Social,6,53.53,111340
Management,11-3131,Training and Development Managers,Enterprising,7,53.53,111340
Management,11-3131,Training and Development Managers,Conventional,4,53.53,111340
Management,11-9021,Construction Managers,Realistic,5.67,44.89,93370
Management,11-9021,Construction Managers,Investigative,2,44.89,93370
Management,11-9021,Construction Managers,Artistic,1.33,44.89,93370
Management,11-9021,Construction Managers,Social,2,44.89,93370
Management,11-9021,Construction Managers,Enterprising,7,44.89,93370
Management,11-9021,Construction Managers,Conventional,4.67,44.89,93370
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Realistic,1,23.05,47940
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Investigative,1.67,23.05,47940
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Artistic,2.67,23.05,47940
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Social,6,23.05,47940
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Enterprising,6,23.05,47940
Management,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Conventional,4,23.05,47940
Management,11-9033,"Education Administrators, Postsecondary",Realistic,1,45.36,94340
Management,11-9033,"Education Administrators, Postsecondary",Investigative,3,45.36,94340
Management,11-9033,"Education Administrators, Postsecondary",Artistic,3,45.36,94340
Management,11-9033,"Education Administrators, Postsecondary",Social,4.67,45.36,94340
Management,11-9033,"Education Administrators, Postsecondary",Enterprising,7,45.36,94340
Management,11-9033,"Education Administrators, Postsecondary",Conventional,5,45.36,94340
Management,11-9041,Architectural and Engineering Managers,Realistic,4.67,67.67,140760
Management,11-9041,Architectural and Engineering Managers,Investigative,4.67,67.67,140760
Management,11-9041,Architectural and Engineering Managers,Artistic,1.67,67.67,140760
Management,11-9041,Architectural and Engineering Managers,Social,1.33,67.67,140760
Management,11-9041,Architectural and Engineering Managers,Enterprising,7,67.67,140760
Management,11-9041,Architectural and Engineering Managers,Conventional,4,67.67,140760
Management,11-9051,Food Service Managers,Realistic,4.33,26.08,54240
Management,11-9051,Food Service Managers,Investigative,1.67,26.08,54240
Management,11-9051,Food Service Managers,Artistic,1.67,26.08,54240
Management,11-9051,Food Service Managers,Social,4.33,26.08,54240
Management,11-9051,Food Service Managers,Enterprising,7,26.08,54240
Management,11-9051,Food Service Managers,Conventional,5.33,26.08,54240
Management,11-9061,Funeral Service Managers,Realistic,1.33,38.07,79180
Management,11-9061,Funeral Service Managers,Investigative,2,38.07,79180
Management,11-9061,Funeral Service Managers,Artistic,2,38.07,79180
Management,11-9061,Funeral Service Managers,Social,4.33,38.07,79180
Management,11-9061,Funeral Service Managers,Enterprising,7,38.07,79180
Management,11-9061,Funeral Service Managers,Conventional,4.67,38.07,79180
Management,11-9071,Gaming Managers,Realistic,3.33,35.91,74700
Management,11-9071,Gaming Managers,Investigative,2,35.91,74700
Management,11-9071,Gaming Managers,Artistic,1.67,35.91,74700
Management,11-9071,Gaming Managers,Social,3,35.91,74700
Management,11-9071,Gaming Managers,Enterprising,7,35.91,74700
Management,11-9071,Gaming Managers,Conventional,5,35.91,74700
Management,11-9081,Lodging Managers,Realistic,3,25.67,53390
Management,11-9081,Lodging Managers,Investigative,1.67,25.67,53390
Management,11-9081,Lodging Managers,Artistic,1.33,25.67,53390
Management,11-9081,Lodging Managers,Social,4,25.67,53390
Management,11-9081,Lodging Managers,Enterprising,7,25.67,53390
Management,11-9081,Lodging Managers,Conventional,5.33,25.67,53390
Management,11-9111,Medical and Health Services Managers,Realistic,1.67,47.95,99730
Management,11-9111,Medical and Health Services Managers,Investigative,3.33,47.95,99730
Management,11-9111,Medical and Health Services Managers,Artistic,1.67,47.95,99730
Management,11-9111,Medical and Health Services Managers,Social,5,47.95,99730
Management,11-9111,Medical and Health Services Managers,Enterprising,7,47.95,99730
Management,11-9111,Medical and Health Services Managers,Conventional,5,47.95,99730
Management,11-9121,Natural Sciences Managers,Realistic,3,59.55,123860
Management,11-9121,Natural Sciences Managers,Investigative,5.33,59.55,123860
Management,11-9121,Natural Sciences Managers,Artistic,1.33,59.55,123860
Management,11-9121,Natural Sciences Managers,Social,1.67,59.55,123860
Management,11-9121,Natural Sciences Managers,Enterprising,7,59.55,123860
Management,11-9121,Natural Sciences Managers,Conventional,3,59.55,123860
Management,11-9131,Postmasters and Mail Superintendents,Realistic,3,36.52,75970
Management,11-9131,Postmasters and Mail Superintendents,Investigative,1.67,36.52,75970
Management,11-9131,Postmasters and Mail Superintendents,Artistic,1,36.52,75970
Management,11-9131,Postmasters and Mail Superintendents,Social,4.33,36.52,75970
Management,11-9131,Postmasters and Mail Superintendents,Enterprising,7,36.52,75970
Management,11-9131,Postmasters and Mail Superintendents,Conventional,5.67,36.52,75970
Management,11-9141,"Property, Real Estate, and Community Association Managers",Realistic,3,28.05,58340
Management,11-9141,"Property, Real Estate, and Community Association Managers",Investigative,1,28.05,58340
Management,11-9141,"Property, Real Estate, and Community Association Managers",Artistic,1.33,28.05,58340
Management,11-9141,"Property, Real Estate, and Community Association Managers",Social,3.67,28.05,58340
Management,11-9141,"Property, Real Estate, and Community Association Managers",Enterprising,7,28.05,58340
Management,11-9141,"Property, Real Estate, and Community Association Managers",Conventional,5.67,28.05,58340
Management,11-9151,Social and Community Service Managers,Realistic,1,31.41,65320
Management,11-9151,Social and Community Service Managers,Investigative,1.33,31.41,65320
Management,11-9151,Social and Community Service Managers,Artistic,2.67,31.41,65320
Management,11-9151,Social and Community Service Managers,Social,6,31.41,65320
Management,11-9151,Social and Community Service Managers,Enterprising,6.67,31.41,65320
Management,11-9151,Social and Community Service Managers,Conventional,3.33,31.41,65320
Management,11-9161,Emergency Management Directors,Realistic,3.67,35.78,74420
Management,11-9161,Emergency Management Directors,Investigative,3,35.78,74420
Management,11-9161,Emergency Management Directors,Artistic,2,35.78,74420
Management,11-9161,Emergency Management Directors,Social,6.33,35.78,74420
Management,11-9161,Emergency Management Directors,Enterprising,5.67,35.78,74420
Management,11-9161,Emergency Management Directors,Conventional,3.67,35.78,74420
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Realistic,1.33,31.75,66040
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Investigative,1.33,31.75,66040
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Artistic,3,31.75,66040
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Social,4.33,31.75,66040
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Enterprising,7,31.75,66040
Business and Financial Operations,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Conventional,4.67,31.75,66040
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Realistic,5.67,30.06,62520
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Investigative,2,30.06,62520
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Artistic,1,30.06,62520
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Social,2.33,30.06,62520
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Enterprising,4.33,30.06,62520
Business and Financial Operations,13-1032,"Insurance Appraisers, Auto Damage",Conventional,6.67,30.06,62520
Business and Financial Operations,13-1051,Cost Estimators,Realistic,3,30.79,64040
Business and Financial Operations,13-1051,Cost Estimators,Investigative,2.67,30.79,64040
Business and Financial Operations,13-1051,Cost Estimators,Artistic,1,30.79,64040
Business and Financial Operations,13-1051,Cost Estimators,Social,1.33,30.79,64040
Business and Financial Operations,13-1051,Cost Estimators,Enterprising,6,30.79,64040
Business and Financial Operations,13-1051,Cost Estimators,Conventional,6,30.79,64040
Business and Financial Operations,13-1071,Human Resources Specialists,Realistic,1,29.27,60880
Business and Financial Operations,13-1071,Human Resources Specialists,Investigative,2.67,29.27,60880
Business and Financial Operations,13-1071,Human Resources Specialists,Artistic,2.67,29.27,60880
Business and Financial Operations,13-1071,Human Resources Specialists,Social,4,29.27,60880
Business and Financial Operations,13-1071,Human Resources Specialists,Enterprising,6,29.27,60880
Business and Financial Operations,13-1071,Human Resources Specialists,Conventional,4.67,29.27,60880
Business and Financial Operations,13-1074,Farm Labor Contractors,Realistic,3,22.19,46150
Business and Financial Operations,13-1074,Farm Labor Contractors,Investigative,1,22.19,46150
Business and Financial Operations,13-1074,Farm Labor Contractors,Artistic,1,22.19,46150
Business and Financial Operations,13-1074,Farm Labor Contractors,Social,3,22.19,46150
Business and Financial Operations,13-1074,Farm Labor Contractors,Enterprising,7,22.19,46150
Business and Financial Operations,13-1074,Farm Labor Contractors,Conventional,2.33,22.19,46150
Business and Financial Operations,13-1075,Labor Relations Specialists,Realistic,1,32.59,67790
Business and Financial Operations,13-1075,Labor Relations Specialists,Investigative,3,32.59,67790
Business and Financial Operations,13-1075,Labor Relations Specialists,Artistic,2.33,32.59,67790
Business and Financial Operations,13-1075,Labor Relations Specialists,Social,4.33,32.59,67790
Business and Financial Operations,13-1075,Labor Relations Specialists,Enterprising,6.33,32.59,67790
Business and Financial Operations,13-1075,Labor Relations Specialists,Conventional,4.67,32.59,67790
Business and Financial Operations,13-1081,Logisticians,Realistic,2.33,35.86,74600
Business and Financial Operations,13-1081,Logisticians,Investigative,2.33,35.86,74600
Business and Financial Operations,13-1081,Logisticians,Artistic,1.33,35.86,74600
Business and Financial Operations,13-1081,Logisticians,Social,3.33,35.86,74600
Business and Financial Operations,13-1081,Logisticians,Enterprising,7,35.86,74600
Business and Financial Operations,13-1081,Logisticians,Conventional,5.67,35.86,74600
Business and Financial Operations,13-1111,Management Analysts,Realistic,1.33,40.2,83610
Business and Financial Operations,13-1111,Management Analysts,Investigative,6.33,40.2,83610
Business and Financial Operations,13-1111,Management Analysts,Artistic,1.67,40.2,83610
Business and Financial Operations,13-1111,Management Analysts,Social,2.33,40.2,83610
Business and Financial Operations,13-1111,Management Analysts,Enterprising,6,40.2,83610
Business and Financial Operations,13-1111,Management Analysts,Conventional,4.33,40.2,83610
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Realistic,1.67,23.74,49370
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Investigative,1.33,23.74,49370
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Artistic,2.33,23.74,49370
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Social,4.33,23.74,49370
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Enterprising,7,23.74,49370
Business and Financial Operations,13-1121,"Meeting, Convention, and Event Planners",Conventional,5,23.74,49370
Business and Financial Operations,13-1131,Fundraisers,Realistic,1,27.38,56950
Business and Financial Operations,13-1131,Fundraisers,Investigative,2,27.38,56950
Business and Financial Operations,13-1131,Fundraisers,Artistic,4.67,27.38,56950
Business and Financial Operations,13-1131,Fundraisers,Social,3.33,27.38,56950
Business and Financial Operations,13-1131,Fundraisers,Enterprising,6.67,27.38,56950
Business and Financial Operations,13-1131,Fundraisers,Conventional,5,27.38,56950
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Realistic,2.33,30.29,63000
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Investigative,2.67,30.29,63000
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Artistic,1.67,30.29,63000
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Social,2.67,30.29,63000
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Enterprising,6.33,30.29,63000
Business and Financial Operations,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Conventional,6.33,30.29,63000
Business and Financial Operations,13-1151,Training and Development Specialists,Realistic,1.33,29.26,60870
Business and Financial Operations,13-1151,Training and Development Specialists,Investigative,2.33,29.26,60870
Business and Financial Operations,13-1151,Training and Development Specialists,Artistic,4.67,29.26,60870
Business and Financial Operations,13-1151,Training and Development Specialists,Social,6.67,29.26,60870
Business and Financial Operations,13-1151,Training and Development Specialists,Enterprising,4,29.26,60870
Business and Financial Operations,13-1151,Training and Development Specialists,Conventional,4.67,29.26,60870
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Realistic,1.33,30.35,63120
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Investigative,6.67,30.35,63120
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Artistic,1.67,30.35,63120
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Social,1.33,30.35,63120
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Enterprising,5,30.35,63120
Business and Financial Operations,13-1161,Market Research Analysts and Marketing Specialists,Conventional,4,30.35,63120
Business and Financial Operations,13-2031,Budget Analysts,Realistic,1.67,36.65,76220
Business and Financial Operations,13-2031,Budget Analysts,Investigative,4,36.65,76220
Business and Financial Operations,13-2031,Budget Analysts,Artistic,1.33,36.65,76220
Business and Financial Operations,13-2031,Budget Analysts,Social,2.33,36.65,76220
Business and Financial Operations,13-2031,Budget Analysts,Enterprising,5.67,36.65,76220
Business and Financial Operations,13-2031,Budget Analysts,Conventional,7,36.65,76220
Business and Financial Operations,13-2041,Credit Analysts,Realistic,2.67,34.38,71520
Business and Financial Operations,13-2041,Credit Analysts,Investigative,3,34.38,71520
Business and Financial Operations,13-2041,Credit Analysts,Artistic,1,34.38,71520
Business and Financial Operations,13-2041,Credit Analysts,Social,3,34.38,71520
Business and Financial Operations,13-2041,Credit Analysts,Enterprising,5.33,34.38,71520
Business and Financial Operations,13-2041,Credit Analysts,Conventional,7,34.38,71520
Business and Financial Operations,13-2051,Financial Analysts,Realistic,2.67,41.18,85660
Business and Financial Operations,13-2051,Financial Analysts,Investigative,5.67,41.18,85660
Business and Financial Operations,13-2051,Financial Analysts,Artistic,2.33,41.18,85660
Business and Financial Operations,13-2051,Financial Analysts,Social,1,41.18,85660
Business and Financial Operations,13-2051,Financial Analysts,Enterprising,5,41.18,85660
Business and Financial Operations,13-2051,Financial Analysts,Conventional,6.67,41.18,85660
Business and Financial Operations,13-2052,Personal Financial Advisors,Realistic,1,42.73,88890
Business and Financial Operations,13-2052,Personal Financial Advisors,Investigative,3,42.73,88890
Business and Financial Operations,13-2052,Personal Financial Advisors,Artistic,1.33,42.73,88890
Business and Financial Operations,13-2052,Personal Financial Advisors,Social,3.67,42.73,88890
Business and Financial Operations,13-2052,Personal Financial Advisors,Enterprising,6.67,42.73,88890
Business and Financial Operations,13-2052,Personal Financial Advisors,Conventional,5.67,42.73,88890
Business and Financial Operations,13-2053,Insurance Underwriters,Realistic,1.33,33.36,69380
Business and Financial Operations,13-2053,Insurance Underwriters,Investigative,3.33,33.36,69380
Business and Financial Operations,13-2053,Insurance Underwriters,Artistic,1,33.36,69380
Business and Financial Operations,13-2053,Insurance Underwriters,Social,2.33,33.36,69380
Business and Financial Operations,13-2053,Insurance Underwriters,Enterprising,4.67,33.36,69380
Business and Financial Operations,13-2053,Insurance Underwriters,Conventional,6.33,33.36,69380
Business and Financial Operations,13-2061,Financial Examiners,Realistic,1.33,38.55,80180
Business and Financial Operations,13-2061,Financial Examiners,Investigative,3,38.55,80180
Business and Financial Operations,13-2061,Financial Examiners,Artistic,1.33,38.55,80180
Business and Financial Operations,13-2061,Financial Examiners,Social,2,38.55,80180
Business and Financial Operations,13-2061,Financial Examiners,Enterprising,6.67,38.55,80180
Business and Financial Operations,13-2061,Financial Examiners,Conventional,5.67,38.55,80180
Business and Financial Operations,13-2071,Credit Counselors,Realistic,1,21.72,45180
Business and Financial Operations,13-2071,Credit Counselors,Investigative,2.33,21.72,45180
Business and Financial Operations,13-2071,Credit Counselors,Artistic,2,21.72,45180
Business and Financial Operations,13-2071,Credit Counselors,Social,5.33,21.72,45180
Business and Financial Operations,13-2071,Credit Counselors,Enterprising,5.33,21.72,45180
Business and Financial Operations,13-2071,Credit Counselors,Conventional,5.33,21.72,45180
Business and Financial Operations,13-2072,Loan Officers,Realistic,1,30.31,63040
Business and Financial Operations,13-2072,Loan Officers,Investigative,2.67,30.31,63040
Business and Financial Operations,13-2072,Loan Officers,Artistic,1,30.31,63040
Business and Financial Operations,13-2072,Loan Officers,Social,4,30.31,63040
Business and Financial Operations,13-2072,Loan Officers,Enterprising,6,30.31,63040
Business and Financial Operations,13-2072,Loan Officers,Conventional,6.67,30.31,63040
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Realistic,2.67,26.17,54440
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Investigative,2,26.17,54440
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Artistic,1,26.17,54440
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Social,3.33,26.17,54440
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Enterprising,5.67,26.17,54440
Business and Financial Operations,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Conventional,7,26.17,54440
Business and Financial Operations,13-2082,Tax Preparers,Realistic,1.67,18.94,39390
Business and Financial Operations,13-2082,Tax Preparers,Investigative,1.33,18.94,39390
Business and Financial Operations,13-2082,Tax Preparers,Artistic,1,18.94,39390
Business and Financial Operations,13-2082,Tax Preparers,Social,2.67,18.94,39390
Business and Financial Operations,13-2082,Tax Preparers,Enterprising,4.67,18.94,39390
Business and Financial Operations,13-2082,Tax Preparers,Conventional,7,18.94,39390
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Realistic,5,56.91,118370
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Investigative,7,56.91,118370
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Artistic,4.33,56.91,118370
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Social,1,56.91,118370
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Enterprising,1.67,56.91,118370
Computer and Mathematical,15-1111,Computer and Information Research Scientists,Conventional,4.33,56.91,118370
Computer and Mathematical,15-1121,Computer Systems Analysts,Realistic,4.33,42.66,88740
Computer and Mathematical,15-1121,Computer Systems Analysts,Investigative,6.33,42.66,88740
Computer and Mathematical,15-1121,Computer Systems Analysts,Artistic,1.67,42.66,88740
Computer and Mathematical,15-1121,Computer Systems Analysts,Social,2,42.66,88740
Computer and Mathematical,15-1121,Computer Systems Analysts,Enterprising,3.33,42.66,88740
Computer and Mathematical,15-1121,Computer Systems Analysts,Conventional,6.33,42.66,88740
Computer and Mathematical,15-1122,Information Security Analysts,Realistic,4.67,47.28,98350
Computer and Mathematical,15-1122,Information Security Analysts,Investigative,5.33,47.28,98350
Computer and Mathematical,15-1122,Information Security Analysts,Artistic,1.67,47.28,98350
Computer and Mathematical,15-1122,Information Security Analysts,Social,2.33,47.28,98350
Computer and Mathematical,15-1122,Information Security Analysts,Enterprising,2.33,47.28,98350
Computer and Mathematical,15-1122,Information Security Analysts,Conventional,6.33,47.28,98350
Computer and Mathematical,15-1131,Computer Programmers,Realistic,3.33,40.52,84280
Computer and Mathematical,15-1131,Computer Programmers,Investigative,7,40.52,84280
Computer and Mathematical,15-1131,Computer Programmers,Artistic,3,40.52,84280
Computer and Mathematical,15-1131,Computer Programmers,Social,2,40.52,84280
Computer and Mathematical,15-1131,Computer Programmers,Enterprising,2,40.52,84280
Computer and Mathematical,15-1131,Computer Programmers,Conventional,5.67,40.52,84280
Computer and Mathematical,15-1132,"Software Developers, Applications",Realistic,5,49.82,103620
Computer and Mathematical,15-1132,"Software Developers, Applications",Investigative,6.67,49.82,103620
Computer and Mathematical,15-1132,"Software Developers, Applications",Artistic,2.33,49.82,103620
Computer and Mathematical,15-1132,"Software Developers, Applications",Social,1,49.82,103620
Computer and Mathematical,15-1132,"Software Developers, Applications",Enterprising,2.67,49.82,103620
Computer and Mathematical,15-1132,"Software Developers, Applications",Conventional,4.67,49.82,103620
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Realistic,4,52.89,110000
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Investigative,7,52.89,110000
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Artistic,2.67,52.89,110000
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Social,2.33,52.89,110000
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Enterprising,1.67,52.89,110000
Computer and Mathematical,15-1133,"Software Developers, Systems Software",Conventional,5.67,52.89,110000
Computer and Mathematical,15-1134,Web Developers,Realistic,4.33,33.38,69430
Computer and Mathematical,15-1134,Web Developers,Investigative,5,33.38,69430
Computer and Mathematical,15-1134,Web Developers,Artistic,4,33.38,69430
Computer and Mathematical,15-1134,Web Developers,Social,1,33.38,69430
Computer and Mathematical,15-1134,Web Developers,Enterprising,3.33,33.38,69430
Computer and Mathematical,15-1134,Web Developers,Conventional,5.33,33.38,69430
Computer and Mathematical,15-1141,Database Administrators,Realistic,3.33,43.31,90070
Computer and Mathematical,15-1141,Database Administrators,Investigative,5.33,43.31,90070
Computer and Mathematical,15-1141,Database Administrators,Artistic,2.33,43.31,90070
Computer and Mathematical,15-1141,Database Administrators,Social,2.33,43.31,90070
Computer and Mathematical,15-1141,Database Administrators,Enterprising,3.67,43.31,90070
Computer and Mathematical,15-1141,Database Administrators,Conventional,7,43.31,90070
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Realistic,5.67,39.45,82050
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Investigative,6,39.45,82050
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Artistic,1.67,39.45,82050
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Social,2,39.45,82050
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Enterprising,4,39.45,82050
Computer and Mathematical,15-1142,Network and Computer Systems Administrators,Conventional,4.67,39.45,82050
Computer and Mathematical,15-1143,Computer Network Architects,Realistic,4,52.41,109020
Computer and Mathematical,15-1143,Computer Network Architects,Investigative,6,52.41,109020
Computer and Mathematical,15-1143,Computer Network Architects,Artistic,2.33,52.41,109020
Computer and Mathematical,15-1143,Computer Network Architects,Social,2,52.41,109020
Computer and Mathematical,15-1143,Computer Network Architects,Enterprising,5.33,52.41,109020
Computer and Mathematical,15-1143,Computer Network Architects,Conventional,6,52.41,109020
Computer and Mathematical,15-1151,Computer User Support Specialists,Realistic,5.67,24.51,50980
Computer and Mathematical,15-1151,Computer User Support Specialists,Investigative,5.33,24.51,50980
Computer and Mathematical,15-1151,Computer User Support Specialists,Artistic,1.67,24.51,50980
Computer and Mathematical,15-1151,Computer User Support Specialists,Social,4.33,24.51,50980
Computer and Mathematical,15-1151,Computer User Support Specialists,Enterprising,2.67,24.51,50980
